date,close,volume,marketCap,cpiaucns,cpiaucns_multiplier,cpi_adj_price,20d_vol_avg,100d_vol_avg,daily_diff,daily_returns,daily_volume_diff,daily_volume_pc_change,gain,loss,7d_avg_gain,7d_avg_loss,7d_rs,7d_rsi,14d_avg_gain,14d_avg_loss,14d_rs,14d_rsi,50d_avg_gain,50d_avg_loss,50d_rs,50d_rsi,200d_avg_gain,200d_avg_loss,200d_rs,200d_rsi,log_ret,7d_historic_volatility_of_risk-adjusted_return,14d_historic_volatility_of_risk-adjusted_return,252d_historic_volatility_of_risk-adjusted_return,7d_sharpe_ratio,14d_sharpe_ratio,50d_sharpe_ratio,200d_sharpe_ratio
2021-09-01,171.77547863534423,2189172521.914135,11475429430.682352,274.31,1.0249280011665634,176.05749796715307,2188786493.2942686,2684726483.051035,3.8186384674982037,0.02273583179870542,-74973561.59402466,2.473876827284699,3.82,0.0,2.0599999999999916,2.3399999999999896,0.8803418803418807,46.81818181818183,2.5942857142857045,2.3514285714285728,1.1032806804374193,52.455228191796536,2.697999999999996,1.9394000000000005,1.3911519026503019,58.17915211109669,4.476099999999993,4.603700000000003,0.972283163542366,49.297341351131024,0.02248122468688507,0.08717989735400196,0.13479249369408924,1.0536233804872606,-0.0943250173004843,0.21185611654843717,1.021421389830717,0.31762595679622974
2021-09-02,181.11743498435027,2774015017.4297585,12088044122.03615,274.31,1.0249280011665634,176.05749796715307,2194109654.263018,2640443312.5400023,9.34195634900604,0.054384691128340545,584842495.5156236,-8.800649763479225,9.34,0.0,2.7828571428571345,2.3399999999999896,1.189255189255191,54.32236475181264,3.2614285714285622,2.3357142857142867,1.3963302752293532,58.26952526799379,2.8847999999999963,1.8876000000000004,1.5282898919262533,60.44757354790039,4.3804999999999925,4.603700000000003,0.9515172578578078,48.757819282740755,0.05295736562460718,0.10076316461666258,0.14420371233506463,1.0494311392013878,0.2140565011303094,0.5863240551470899,1.2692084376762356,0.2207841756007368
2021-09-03,183.83166664069432,2654117926.197442,12271244378.987486,274.31,1.0249280011665634,176.05749796715307,2184227579.62268,2604677947.632657,2.7142316563440545,0.014986031889081097,-119897091.2323165,-1.205007488600174,2.71,0.0,3.1699999999999915,1.1242857142857041,2.8195679796696496,73.8190286094479,2.981428571428562,2.3357142857142867,1.2764525993883746,56.072004298764014,2.9389999999999965,1.8872000000000007,1.5573336159389548,60.89677178732747,4.394049999999993,4.550100000000002,0.9657040504604274,49.127642090081174,0.014874850713423982,0.0810325828174822,0.14018154121626095,1.0463966144809622,1.0345327440434071,0.42801629581736234,1.3222155782917693,0.2909109392572833
2021-09-04,212.3519400527542,5753472753.106617,14175047195.936176,274.31,1.0249280011665634,176.05749796715307,2343933673.581917,2604525340.3818727,28.52027341205988,0.1551434197014805,3099354826.909175,-26.850125262036293,28.52,0.0,6.341428571428563,1.1242857142857041,5.640406607369802,84.94068120933802,4.4135714285714185,2.3357142857142867,1.8896024464831753,65.39316329770341,3.5093999999999967,1.7734000000000005,1.9789105672719047,66.43068069962897,4.536649999999993,4.512250000000002,1.0054075018006519,50.134823017162255,0.14422450916665497,0.1563096768681962,0.19536522483179145,1.048415871150784,1.2200327856034079,0.8220599424414231,1.8185953308049838,0.4968506109397523
2021-09-05,213.21880325244888,4382080698.721429,14232912580.942972,274.31,1.0249280011665634,176.05749796715307,2436291104.209093,2594184844.3741174,0.8668631996946772,0.004082200518061407,-1371392054.385188,-1.4424766220629233,0.87,0.0,6.465714285714276,1.0971428571428468,5.893229166666714,85.49301095579912,4.475714285714276,2.1200000000000014,2.1111859838274873,67.85791639592803,3.5267999999999966,1.6878000000000006,2.0895840739424076,67.63318375330799,4.526049999999993,4.512250000000002,1.003058341182335,50.076341789938326,0.004073890944081171,0.1553074814362825,0.1933518424480052,1.0482340175981513,1.259045569113761,0.9334202010447131,1.959649865208764,0.48551363946884607
2021-09-06,229.3239438418851,3751401946.513961,15307972822.425728,274.31,1.0249280011665634,176.05749796715307,2497750614.8227396,2572444291.6645565,16.105140589436218,0.07553339735411568,-630678752.207468,-0.5401178312279131,16.11,0.0,8.767142857142847,1.004285714285704,8.72972972972981,89.72222222222231,5.245714285714277,2.1200000000000014,2.4743935309972986,71.21799844840957,3.848999999999996,1.6666000000000005,2.3094923796951847,69.7838857059975,4.475999999999993,4.512250000000002,0.9919663139232071,49.798347843017226,0.07281672210647994,0.15610205632447496,0.2022486893192416,1.0504919763976708,1.7363799221710217,1.1124977139009513,2.189900465165292,0.434467518372733
2021-09-07,220.10328853325717,3797512105.4941173,14692469973.029627,274.31,1.0249280011665634,176.05749796715307,2581035345.639816,2556279800.5639944,-9.220655308627926,-0.04020799204022674,46110158.98015642,-1.0731119588518943,0.0,9.22,8.767142857142847,1.3171428571428467,6.65618221258139,86.93865986683674,5.140714285714276,2.77857142857143,1.850128534704366,64.91386308288982,3.848999999999996,1.8468000000000007,2.084145549057827,67.57610871168227,4.475999999999993,4.5123000000000015,0.991955322119538,49.79807082540631,-0.04103867636930847,0.1561162114591872,0.2099053172607087,1.0512123599827674,1.73610408187304,0.8517349337262109,2.0423398541367805,0.43303150066689283
2021-09-08,178.4445909458318,4841380209.404615,11895604543.560871,274.31,1.0249280011665634,176.05749796715307,2726983885.5726047,2563089979.7050548,-41.658697587425365,-0.18926885584051967,1043868103.9104981,21.63857091361859,0.0,41.66,8.221428571428563,7.268571428571418,1.131092767295598,53.075717052476264,5.140714285714276,4.804285714285716,1.0700267618198014,51.69144580909281,3.848999999999996,2.5538000000000007,1.5071657921528683,60.11432498281999,4.422199999999993,4.720600000000002,0.9367876964792593,48.36811480071746,-0.20981879134610093,0.2951053822265123,0.29596004771834694,1.0723168498068192,0.2619484059649014,0.23161518509794898,1.3915040752176295,0.1671154392043944
2021-09-09,179.3006525594279,4555784101.837267,12015537429.12473,274.31,1.0249280011665634,176.05749796715307,2862799650.5514464,2559989762.3053455,0.856061613596097,0.004797352551055845,-285596107.5673485,-1.2735940551277114,0.86,0.0,7.009999999999991,7.268571428571418,0.964426100628931,49.09454727363682,4.8964285714285625,4.804285714285716,1.0191793041926829,50.47492820852656,3.8661999999999965,2.4368000000000007,1.5865889691398536,61.3390448992543,4.426499999999993,4.672700000000002,0.9473109765232074,48.647133813961624,0.004785881926430591,0.2899428891179875,0.2950078981455029,1.0723141339931574,0.08939443753776627,0.16293786758082593,1.5628757901164545,0.2162675453008588
2021-09-10,180.86431975960545,2915923407.4194803,12073166216.500729,274.31,1.0249280011665634,176.05749796715307,2916722527.8408,2545788177.6554785,1.563667200177548,0.008720923085649535,-1639860694.4177866,4.741887410111425,1.56,0.0,6.845714285714277,7.268571428571418,0.9418238993710694,48.50202429149798,5.007857142857134,4.196428571428573,1.193361702127657,54.40788452584194,3.688999999999997,2.4368000000000007,1.5138706500328283,60.22070586698877,4.434299999999992,4.669750000000001,0.9495797419562055,48.70689418445632,0.008683115488341109,0.28960232444289163,0.2901860692469912,1.071719076920273,0.06710481711799936,0.3672351408771241,1.36359792016412,0.22854894085685212
